driver_id,driver_name,license_number,experience_years
D001,Driver_1,LIC39542,13
D002,Driver_2,LIC60734,7
D003,Driver_3,LIC88242,6
D004,Driver_4,LIC42684,7
D005,Driver_5,LIC71464,8
D006,Driver_6,LIC30330,6
D007,Driver_7,LIC87749,11
D008,Driver_8,LIC96595,5
D009,Driver_9,LIC33764,4
D010,Driver_10,LIC71191,14
D011,Driver_11,LIC17635,10
D012,Driver_12,LIC50645,12
D013,Driver_13,LIC14170,3
D014,Driver_14,LIC65255,3
D015,Driver_15,LIC63204,6
D016,Driver_16,LIC34328,9
D017,Driver_17,LIC30074,10
D018,Driver_18,LIC98858,12
D019,Driver_19,LIC63903,6
D020,Driver_20,LIC33765,12
D021,Driver_21,LIC16198,9
D022,Driver_22,LIC19072,5
D023,Driver_23,LIC55944,15
D024,Driver_24,LIC29219,10
D025,Driver_25,LIC13011,12
D026,Driver_26,LIC21130,1
D027,Driver_27,LIC42083,13
D028,Driver_28,LIC48178,6
D029,Driver_29,LIC80595,9
D030,Driver_30,LIC53458,7
